"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","Workouts component","8","0","","0"
"0","","0","Login component","11","0","","0"
"0","","0","Calendar component","8","0","","0"
"0","","0","FeedBack component","2","0","","0"
"0","","2","UserProfile component","6","0","","0"
"0","","3","Dashboard component","5","0","","0"
"0","","1","DailyVitals component","4","0","","0"
"0","","5","WorkoutReport component","0","0","","0"
"0","","0","Register component","5","0","","0"
"0","","0","CustomerSupport component","1","0","","0"
