"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26600","После выбора файла изображение отображается в профиле","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkAvatarUploaded"
"","5228","Успешный вход с валидными email и паролем","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogin"
"","1998","Проверка валидации некорректного email","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForEmailForRegistration"
"","2097","В ячейках дней с тренировками отображается  метка типа активности","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkActivityLabelExistence"
"","9196","При выборе даты данные на графиках и в таблице фильтруются по неделе","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForWeek"
"","11395","Календарь показывается, дни корректно распределены по сетке","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarExistence"
"","7696","Календарь показывает месяц и год","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarActualMonthExistence"
"","4769","Виджет показывает неделю и уменьшенный календарь","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkWeeklySummary"
"","15379","Авторизация с пустыми полями login и password. Ошибка входа: пустое поле Email. Ошибка входа: пустое поле Password ","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyFields"
"","2531","Переход на страницу с ссылками на часы ","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkGarminButton"
"","11109","Чекбоксы on/off - сохранить изменения ","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkCalendarSyncChange"
"","1563","Авторизация с пустым полем login. Ошибка входа: пустое поле Email","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyLogin"
"","2743","Отображается страница фидбека и текст Provide Feedback","finalsurge","2026-07-25","passed","2026-07-25","tests.FeedBackTest","thread2","tests.FeedBackTest","checkFeedBackPage"
"","12733","Отображается сообщение об успешной отправке фидбека","finalsurge","2026-07-25","passed","2026-07-25","tests.FeedBackTest","thread2","tests.FeedBackTest","checkSendFeedBack"
"","11128","Чекбоксы вкл/выкл сохраняются, настройки применяются ","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkNotification"
"","16768","Открывается редактируемое окно     Workout Comment","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportComment"
"","17304","Проверка перехода на страницу логина","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkLoginLink"
"","3406","Календарь выбора даты открывается, дата устанавливается корректно","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCalendarActualMonthExistence"
"","11960","Нет бокового календаря ","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelButton"
"","17595","После сохранения новое имя отображается в профиле и шапке сайта","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkEditNameSurname"
"","6826","Поле   принимает  текст, сохраняется ","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCreateWorkout"
"","2771","Разлогин: успешный логаут. Редирект на Account Login, отображается страница логина","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkSuccessfullLogout"
"","15445","Дропдаун работает и ведёт на соответствующую страницу","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkDropdownsOnPAge"
"","9096","После подтверждения запись отредактирована","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkEdditVital"
"","14864","График отображает динамику веса по дням","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkWeightChange"
"","9212","При выборе типа активности данные на графиках и в таблице фильтруются","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForActivity"
"","10360","Проверка отображения страницы","finalsurge","2026-07-25","passed","2026-07-25","tests.CustomerSupportTest","thread2","tests.CustomerSupportTest","checkCustomerSupportPage"
"","2124","Успешный переход на страницу дашборда","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","openDashboardPage"
"","6442","Появляется форма быстрого добавления тренировки на выбранную дату","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkEmptyCalendarCell"
"","2581","Ссылка sign in. Проверка перехода на страницу регистрации","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkRegistration"
"","6662","Создаётся копия тренировки с теми же параметрами","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCopyWorkout"
"","9944","При нажатии стрелки месяц корректно переключается назад ","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarMonthNavigationToTheLeft"
"","13530","Страница Default: отображается блок Training Volume","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkMainLogo"
"","1536","Авторизация с пустым полем password. Ошибка входа: пустое поле Password","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithEmptyPassword"
"","15647","График показывает длительность тренировок по месяцам / неделям","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForActivityButton"
"","2273","Авторизация с email, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredLogin"
"","11215","рафик отображает динамику Resting HR по дням ","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkRestingHRChange"
"","2377","Редирект на Can/t sign in: запросить email","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkRequestNewPassword"
"","6332","Успешная регистрация в системе","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkSuccessfullRegistration"
"","13479","Выбор языка типа тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsLanguageChange"
"","8778","Выбор типа тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkSettingsTrainningChange"
"","13535","При выборе типа активности отображаются тренировки этого типа","finalsurge","2026-07-25","failed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkfilterWorkoutOnActivity"
"","3940","Дата выбирается через календарь ","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkSelectDate"
"","15122","При нажатии стрелки месяц корректно переключается вперед","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkCalendarMonthNavigationToTheRight"
"","1120","Авторизация с password, которого нет в системе. Сообщение об ошибке: `""Invalid login credentials. Please try again.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkUnregisteredPassword"
"","5912","Доступны типы: Run, Bike, Swim, Custom. Выбранный тип отображается в форме","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkActivityTypeExistence"
"","9375","Отображается сообщение об ошибке `""*Please select a valid Activity Type.""`","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkEmptyNameWorkout"
"","1156","Авторизация с невалидным полем login. Ошибка входа: email без @","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","checkLoginWithUnvalidLogin"
"","22573","Каждый пункт меню ведёт на соответствующую страницу (Calendar, Workouts, Reports и т.д.)","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkClickNavMenu"
"","15871","Настройки видимости профиля сохраняются","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkPrivacy"
"","11660","После изменения полей и сохранения данные обновляются","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkUpdateWorkout"
"","26260","Страница TeamForum: красное инфосообщение на странице об органичении доступа","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkMessageBoardPage"
"","3002","Чекбокс Remember me: отображается, не прожат. После клика прожат","finalsurge","2026-07-25","passed","2026-07-25","tests.LoginTest","thread1","tests.LoginTest","loginWithRememberMeCheckbox"
"","1407","Проверка валидации пустых полей","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessagesForEmptyRegistration"
"","7392","Поля Title и Description принимают текст, сохраняются после создания","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkTtitleDescriptionExistence"
"","5814","Виджет показывает 6 строк для 6 недель","finalsurge","2026-07-25","passed","2026-07-25","tests.DashboardTest","thread2","tests.DashboardTest","checkSixWeeksWidget"
"","11681","Открывается модальное окно или страница с деталями тренировки","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkFullCalendarCell"
"","9823","Таблица с агрегированными данными: кол-во тренировок, общая дистанция, длительность","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutReportTest","thread2","tests.WorkoutReportTest","checkReportForListView"
"","3559","Появляется диалог подтверждения; после подтверждения тренировка удаляется из списка","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkDeleteWorkout"
"","1709","Проверка валидации слабого пароля","finalsurge","2026-07-25","passed","2026-07-25","tests.RegisterTest","thread1","tests.RegisterTest","checkValidMessageForWeakPassword"
"","11137","Отображаются: имя, email, фото профиля","finalsurge","2026-07-25","passed","2026-07-25","tests.UserProfileTest","thread1","tests.UserProfileTest","checkUserProfilePage"
"","3823","Поля Weight, Resting HR, Sleep Hours и др. заполняются и сохраняются ","finalsurge","2026-07-25","passed","2026-07-25","tests.DailyVitalsTest","thread2","tests.DailyVitalsTest","checkAddVital"
"","4027","Поля Distance, Duration, Pace заполняются и сохраняются корректно","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkIntervalExistence"
"","3650","Разные типы активности (Run, Bike, Swim, Custom) отображаются разными цветами","finalsurge","2026-07-25","passed","2026-07-25","tests.CalendarTest","thread1","tests.CalendarTest","checkActivityColors"
"","7611","Появляется диалог подтверждения; после Cancel тренировка не удаляется","finalsurge","2026-07-25","passed","2026-07-25","tests.WorkoutsTest","thread1","tests.WorkoutsTest","checkCancelDeleteWorkout"
